Network Container,Comment,Alignment,Allocation Method,Banner,Building,Block,Country,Delivery Channel,Description,Environment,Location-Suburb,Operational State,Partner,Product Owner,Region,Request Number,Service Owner,Site,Site ID,Site Type,Source Firewall,State,Technical Function,VLAN,VLAN Name,Zone
10.2.0.0/16,SVR21784914,,,Woolworths,,,Australia,,Woolworths ACI - Secure Core - Overlay - Reserved,,,Allocated,,,,,,Data Centre,,Non Stores,,NSW,,,,
10.4.0.0/16,SVR21784914,,,,,,Australia,,Woolworths ACI - Secure Core - Overlay - Reserved,,,,,,,,,Data Centre,,Non Stores,,NSW,,,,
10.6.0.0/16,SVR21784914,,,Woolworths,,,Australia,,Woolworths ACI - Secure Core - Overlay - Reserved,,,Allocated,,,,,,Data Centre,,Non Stores,,NSW,,,,
10.114.0.0/18,ECDC eDMZ Services,Data Centre,,,,,Australia,,,,,Allocated,,,,,,ECDC,6407,Data Centres,,NSW,,,,
10.3.0.0/16,SVR21784914,,,Woolworths,,,Australia,,Woolworths ACI - Secure Core - Overlay - Reserved,,,Allocated,,,,,,Data Centre,,Non Stores,,NSW,,,,
10.5.0.0/16,SVR21784914,,,,,,Australia,,Woolworths ACI - Secure Core - Overlay - Reserved,,,,,,,,,Data Centre,,Non Stores,,NSW,,,,
10.7.0.0/16,SVR21784914,,,Woolworths,,,Australia,,Woolworths ACI - Secure Core - Overlay - Reserved,,,Allocated,,,,,,Data Centre,,Non Stores,,NSW,,,,
10.166.0.0/16,Infrastructure Interconnects & Management Zone,,Automated,Corporate,,,Australia,,Eastern Creek - Infrastructure Interconnects & Management Zone -  Partner VPN NAT Ranges,,,Allocated,,,,,,ECDC,6704,Data Centres,,NSW,,,,MGT
10.167.0.0/16,Server VIPs (Prod & DR),,,Corporate,,AGG,Australia,,Eastern Creek - Server VIPs (Prod & DR),,,Allocated,,,,,,ECDC,6407,Data Centres,,NSW,,,,
10.168.0.0/16,ECDC Production Server Ranges,,,,,AGG,Australia,,Eastern Creek - Production Server Ranges,Prod,,Allocated,,,,,,ECDC,6407,Data Centres,,NSW,,,,
10.169.0.0/16,ECDC DR Server Ranges,,,,,AGG,Australia,,Eastern Creek - DR Server Ranges,DR,,Allocated,,,,,,ECDC,6407,Data Centres,,NSW,,,,
10.170.0.0/16,ECDC NP Server Ranges,,,,,AGG,Australia,,Eastern Creek - NP Server Ranges (Non-Prod - Previously DR IO),NP,,Allocated,,,,,,ECDC,6407,Data Centres,,NSW,,,,
10.171.0.0/16,ECDC ILO & Deployment Networks,,,,,,Australia,,Eastern Creek - ILO & Deployment Networks (Prod & DR),,,Allocated,,,,,,ECDC,6407,Data Centres,,NSW,,,,
10.172.0.0/16,ECDC Future Backup Networks,,,,,,Australia,,Eastern Creek - Future Backup Networks (Prod & DR),,,Allocated,,,,,,ECDC,6407,Data Centres,,NSW,,,,
10.173.0.0/16,ECDC Partner VPN NAT Ranges,,,,,,Australia,,Eastern Creek - Partner VPN NAT Ranges,,,Allocated,,,,,,ECDC,6407,Data Centres,,NSW,,,,
10.30.0.0/16,EQDC Infrastructure Interconnects & Management Zone,,Automated,Corporate,,,Australia,,EQDC - Infrastructure Interconnects & Management Zone,,,Allocated,,,,,,EQDC,,Data Centres,,NSW,,,,
10.31.0.0/16,EQDC SLB VIPs,,,,,,Australia,,EQDC - Server VIPs (Prod & DR),,,Allocated,,,,,,EQDC,,Data Centres,,NSW,,,,
10.74.0.0/16,EQDC Production Server Ranges,,,,,AGG,Australia,,EQDC - Production Server Ranges,Prod,,Allocated,,,,,,EQDC,,Data Centres,,NSW,,,,
10.75.0.0/16,EQDC DR Server Ranges,,,,,AGG,Australia,,EQDC - DR Server Ranges,DR,,Allocated,,,,,,EQDC,,Data Centres,,NSW,,,,
10.76.0.0/16,EQDC NP Server Ranges,,Automated,,,AGG,Australia,,EQDC - NP Server Ranges (Non-Prod - Previously DR IO),NP,,Allocated,,,,,,EQDC,,Data Centres,,NSW,,,,
10.77.0.0/16,EQDC Partner VPN NAT Ranges,,,,,,Australia,,EQDC - Partner VPN NAT Ranges,,,Allocated,,,,,,EQDC,,Data Centres,,NSW,,,,
10.202.0.0/16,EQDC Future Backup Networks,,,,,,Australia,,EQDC - Future Backup Networks (Prod & DR),,,Allocated,,,,,,EQDC,,Data Centres,,NSW,,,,
10.203.0.0/16,EQDC ILO & Deployment Networks,,,,,,Australia,,EQDC - ILO & Deployment Networks (Prod & DR),,,Allocated,,,,,,EQDC,,Data Centres,,NSW,,,,
10.134.0.0/16,NWDC Infrastructure Interconnects & Management Zone,,Automated,Corporate,,,Australia,,Norwest - Infrastructure Interconnects & Management Zone,,,Allocated,,,,,,NWDC,1,Data Centres,,NSW,,,,
10.135.0.0/16,NWDC SLB VIPs,,,,,,Australia,,NWDC - Server VIPs (Prod & DR),,,Allocated,,,,,,NWDC,1,Data Centres,,NSW,,,,
10.136.0.0/16,NWDC Production Server Ranges,,,,,AGG,Australia,,NWDC - Production Server Ranges,Prod,,Allocated,,,,,,NWDC,1,Data Centres,,NSW,,,,
10.137.0.0/16,NWDC DR Server Ranges,,,,,AGG,Australia,,NWDC - DR Server Ranges,DR,,Allocated,,,,,,NWDC,1,Data Centres,,NSW,,,,
10.138.0.0/16,NWDC NP Server Ranges,,,,,AGG,Australia,,NWDC - NP Server Ranges (Non-Prod - Previously DR IO),NP,,Allocated,,,,,,NWDC,1,Data Centres,,NSW,,,,
10.139.0.0/16,NWDC ILO & Deployment Networks,,,,,,Australia,,NWDC - ILO & Deployment Networks (Prod & DR),,,Allocated,,,,,,NWDC,1,Data Centres,,NSW,,,,
10.140.0.0/16,NWDC Future Backup Networks,,,,,,Australia,,NWDC - Future Backup Networks (Prod & DR),,,Allocated,,,,,,NWDC,1,Data Centres,,NSW,,,,
10.141.0.0/16,NWDC Partner VPN NAT Ranges,,,,,,Australia,,NWDC - Partner VPN NAT Ranges,,,Allocated,,,,,,NWDC,1,Data Centres,,NSW,,,,
10.232.0.0/16,Philip Colada,,,,,,Australia,,,,,,,,,,,,,,,,IPTEL,,,
10.53.0.0/16,,,,,,,Australia,,,,,,,,,,,PDC,,,,NSW/ACT,,,,
10.55.176.0/22,,Stores,,LAB,,,Australia,,,,,Allocated,,,,,,TEST LAB 02 - NORWEST,0,BigW,,NSW,LAN,,,
10.55.220.0/22,,Stores,,LAB,,,Australia,,,,,Allocated,,,,,,TEST LAB 02 - NORWEST,0,BigW,,NSW,LAN,,,
10.55.236.0/22,,Stores,,LAB,,,Australia,,,,,Allocated,,,,,,NORWEST POS TEST LAB,0,BigW,,NSW,LAN,,,
10.55.240.0/22,,Stores,,LAB,,,Australia,,,,,Allocated,,,,,,NORWEST POS TEST LAB,0,BigW,,NSW,LAN,,,
10.56.0.0/16,,,,Woolworths,,,Australia,,Norwest,,,Allocated,,,,,,Norwest,,,,NSW/ACT,,,,
10.57.0.0/16,,,,Woolworths,,,Australia,,Norwest,,,Allocated,,,,,,Norwest,,,,NSW/ACT,,,,
192.168.0.0/16,RFC1918 Private Container,,,Woolworths,,,Australia,,,,,Allocated,,,,,,,,,,,,,,
172.27.247.0/24,NSO Legacy Internet Infrastructure,,,Woolworths,,,Australia,,,,,Allocated,,,,,,,,,,,,,,
10.23.128.0/17,,,,Woolworths,,,,,,,,Allocated,,,,,,CDC,,Non Stores,,,,,,
10.166.128.0/17,Management Block Sourced from behind Mgt Zone Firewalls,,Automated,Corporate,,MGT,Australia,,MGMT,,,Allocated,,,,,,ECDC,6704,Data Centres,,NSW,,,,MGT
10.166.190.0/24,VLAN 1850 - 1889 -  Production Server Management - 10.166.176.0/24 to 10.166.199.0/24,,Automated,Corporate,,MGT,Australia,,,Prod,,,,,,,,ECDC,6704,Data Centres,,NSW,,,,MGT
10.30.128.0/17,Management Block Sourced from behind Mgt Zone Firewalls,,Automated,Corporate,,MGT,Australia,,,,,Allocated,,,,,,EQDC,,Data Centres,,NSW,,,,MGT
10.134.128.0/17,Management Block Sourced from behind Mgt Zone Firewalls,,Automated,Corporate,,,Australia,,,,,Allocated,,,,,,NWDC,1,Data Centres,,NSW,,,,MGT
